iter	Passed	Remaining
0	148	148198
1	155	77356
2	160	53387
3	165	41318
4	171	34133
5	177	29463
6	183	25963
7	189	23437
8	195	21581
9	207	20548
10	214	19301
11	219	18108
12	224	17052
13	232	16399
14	237	15625
15	244	15034
16	249	14453
17	256	13980
18	262	13531
19	268	13172
20	273	12770
21	281	12531
22	288	12235
23	296	12063
24	301	11751
25	308	11555
26	320	11564
27	334	11603
28	341	11434
29	349	11296
30	357	11164
31	363	11010
32	369	10817
33	373	10616
34	380	10492
35	385	10330
36	392	10222
37	398	10081
38	403	9950
39	410	9842
40	418	9786
41	425	9708
42	431	9592
43	436	9493
44	442	9381
45	446	9267
46	454	9213
47	461	9160
48	470	9127
49	477	9069
50	484	9009
51	490	8937
52	495	8860
53	501	8782
54	507	8717
55	515	8696
56	521	8635
57	527	8566
58	532	8486
59	537	8424
60	542	8352
61	547	8286
62	553	8238
63	560	8195
64	566	8147
65	572	8097
66	577	8041
67	583	7993
68	589	7947
69	594	7900
70	600	7851
71	605	7803
72	610	7751
73	616	7712
74	620	7658
75	626	7611
76	631	7563
77	635	7516
78	640	7469
79	646	7429
80	650	7385
81	656	7349
82	661	7308
83	666	7264
84	671	7229
85	677	7199
86	682	7159
87	686	7117
88	692	7087
89	697	7054
90	703	7029
91	710	7011
92	716	6985
93	721	6956
94	727	6929
95	734	6917
96	739	6886
97	745	6860
98	750	6832
99	757	6814
100	762	6786
101	768	6766
102	773	6732
103	778	6704
104	784	6685
105	789	6660
106	794	6629
107	799	6604
108	804	6578
109	810	6558
110	816	6537
111	821	6510
112	826	6488
113	831	6459
114	836	6434
115	842	6421
116	848	6404
117	853	6383
118	859	6366
119	865	6345
120	871	6328
121	877	6311
122	882	6289
123	887	6267
124	892	6245
125	898	6229
126	903	6212
127	908	6188
128	912	6162
129	917	6139
130	923	6122
131	929	6110
132	934	6093
133	940	6078
134	947	6072
135	952	6052
136	957	6032
137	963	6018
138	967	5995
139	972	5975
140	977	5955
141	983	5941
142	988	5924
143	994	5909
144	999	5892
145	1004	5878
146	1010	5863
147	1015	5846
148	1021	5831
149	1025	5813
150	1031	5801
151	1036	5781
152	1041	5764
153	1046	5746
154	1051	5733
155	1056	5717
156	1061	5698
157	1066	5682
158	1071	5665
159	1076	5652
160	1081	5635
161	1086	5620
162	1091	5606
163	1097	5594
164	1103	5582
165	1107	5566
166	1113	5551
167	1118	5539
168	1123	5524
169	1129	5516
170	1135	5503
171	1140	5489
172	1146	5479
173	1152	5470
174	1159	5464
175	1164	5450
176	1169	5438
177	1175	5428
178	1181	5417
179	1185	5402
180	1190	5387
181	1198	5386
182	1204	5375
183	1209	5365
184	1215	5355
185	1221	5345
186	1227	5334
187	1231	5319
188	1236	5307
189	1242	5295
190	1246	5281
191	1251	5267
192	1256	5255
193	1261	5242
194	1267	5233
195	1275	5230
196	1279	5216
197	1286	5209
198	1291	5197
199	1295	5181
200	1300	5171
201	1306	5162
202	1312	5154
203	1317	5141
204	1323	5131
205	1328	5119
