iter	RMSE
0	0.9572493799
1	0.9145963327
2	0.873923367
3	0.8355452052
4	0.8006622839
5	0.7689236812
6	0.7369099081
7	0.7064795368
8	0.6793514497
9	0.6541103232
10	0.63035959
11	0.6080733331
12	0.5867470053
13	0.5671070589
14	0.5481250665
15	0.530367857
16	0.5140818342
17	0.4982892553
18	0.4843807505
19	0.4719044642
20	0.4600345235
21	0.4486397615
22	0.4377550909
23	0.4279602478
24	0.4184016966
25	0.4099715854
26	0.4018659112
27	0.3947779476
28	0.3874402174
29	0.3810732154
30	0.3744689699
31	0.3681583758
32	0.3629896192
33	0.3584391678
34	0.3538573548
35	0.3491196191
36	0.3446791858
37	0.3405462299
38	0.3365751059
39	0.3329544887
40	0.3298571527
41	0.3266077947
42	0.3235774015
43	0.3209333231
44	0.3183050768
45	0.3159778189
46	0.3136825448
47	0.311391914
48	0.3089804794
49	0.3071578188
50	0.3050652656
51	0.3030902382
52	0.3013263253
53	0.2997224202
54	0.2982965666
55	0.2969073576
56	0.2955172133
57	0.2942302492
58	0.2931550824
59	0.2920509537
60	0.291125806
61	0.2898702618
62	0.2887309116
63	0.2876790497
64	0.2866360191
65	0.2857300701
66	0.2849125135
67	0.2840877349
68	0.2830892803
69	0.2822692168
70	0.2817150894
71	0.2810782514
72	0.2803444832
73	0.2795438776
74	0.2788972894
75	0.2780424763
76	0.2774424395
77	0.2769491721
78	0.2762245006
79	0.2755287508
80	0.2748818096
81	0.2742026322
82	0.2736157169
83	0.2730013856
84	0.2725567198
85	0.271954351
86	0.2713989566
87	0.2706247198
88	0.2700907837
89	0.2696428751
90	0.2692350313
91	0.2688298203
92	0.2684377686
93	0.2680624913
94	0.2676434606
95	0.267170877
96	0.2668403998
97	0.266220333
98	0.2659377202
99	0.2657265089
100	0.2654273728
101	0.2651441967
102	0.2646440541
103	0.264290391
104	0.264096253
105	0.2637986888
106	0.2633843216
107	0.2630543602
108	0.2627494459
109	0.2625077973
110	0.2618250312
111	0.2614607891
112	0.2611547223
113	0.2605044206
114	0.2599858312
115	0.2598032168
116	0.2595391153
117	0.2591591619
118	0.25871891
119	0.2581452954
120	0.2576519536
121	0.2573739801
122	0.256914297
123	0.2566069479
124	0.2561954898
125	0.2558442084
126	0.255581859
127	0.2552025568
128	0.2550195025
129	0.2547881447
130	0.2545509317
131	0.2542932399
132	0.254093723
133	0.2539005814
134	0.2533364192
135	0.2531934536
136	0.2528040543
137	0.2523908202
138	0.2521471332
139	0.2520040817
140	0.2515177137
141	0.2513219839
142	0.2511459781
143	0.2509251884
144	0.2507815519
145	0.2506133303
146	0.2502599779
147	0.2498894272
148	0.2496383367
149	0.24939276
150	0.2491522485
151	0.2488286578
152	0.2484176322
153	0.2481162606
154	0.2478416808
155	0.2475613579
156	0.2473601427
157	0.2471551135
158	0.2467989472
159	0.2464741876
160	0.2462733417
161	0.2460312736
162	0.2457907818
163	0.2455604982
164	0.2452941993
165	0.2451168712
166	0.2447825391
167	0.2445857659
168	0.2443697614
169	0.2440290619
170	0.2436377069
171	0.2434175527
172	0.2431878804
173	0.2428597627
174	0.2426132279
175	0.242385129
176	0.2420312373
177	0.2417208051
178	0.2413148039
179	0.241032105
180	0.240737763
181	0.240421359
182	0.2401145123
183	0.2397473999
184	0.2393658862
185	0.2390175025
186	0.2387246567
187	0.2385703878
188	0.238228824
189	0.237981245
190	0.2377359514
191	0.2375877208
192	0.2372281444
193	0.2370367313
194	0.2368510069
195	0.2365307435
196	0.2362743471
197	0.2359807857
198	0.235700337
199	0.2355109644
200	0.235244272
201	0.2350475256
202	0.2347332827
203	0.2344979733
204	0.2343196208
205	0.2341068017
206	0.2338983477
207	0.2336857088
208	0.2333486369
209	0.2331539307
210	0.2330052576
211	0.232706266
212	0.2324550117
213	0.2321944188
214	0.2320202702
215	0.2318210971
216	0.2315728937
217	0.2313302956
218	0.2311235765
219	0.23087249
220	0.2306833682
221	0.2304371733
222	0.2302861613
223	0.2300666004
224	0.2298256818
225	0.2296614019
226	0.2295211809
227	0.2293561519
228	0.2289992812
229	0.2288120517
230	0.228666852
231	0.2284375175
232	0.2282776463
233	0.2281305676
234	0.2278808197
235	0.2276793528
236	0.2275257319
237	0.2272602592
238	0.227031136
239	0.2268865187
240	0.2267440551
241	0.2265661686
242	0.2264169986
243	0.2263126151
244	0.2261005063
245	0.225883465
246	0.2256804724
247	0.2254071947
248	0.2251711597
249	0.2249577001
250	0.2248038768
251	0.2246413106
252	0.22443464
253	0.2241341397
254	0.2239882886
255	0.2238529538
256	0.2236718607
257	0.2234463257
258	0.2231798426
259	0.2229640587
260	0.2228371837
261	0.2227045422
262	0.2225598464
263	0.2222374491
264	0.2221564767
265	0.2219665484
266	0.2218126469
267	0.2216195266
268	0.2214276569
269	0.2212379201
270	0.2208911973
271	0.2206873997
272	0.2203811239
273	0.2202344084
274	0.2200743082
275	0.2197624607
276	0.2196667209
277	0.2194678821
278	0.2193568974
279	0.2191999712
280	0.2190221365
281	0.2187456829
282	0.2185963116
283	0.2183639315
284	0.2182155332
285	0.2180094673
286	0.2178065524
287	0.2176905678
288	0.2175838129
289	0.2174847496
290	0.2172328263
291	0.2169751997
292	0.2167999231
293	0.2165993088
294	0.2163458449
295	0.216118661
296	0.2160127724
297	0.2158537921
298	0.2157714734
299	0.2156727133
300	0.2154217932
301	0.2151924838
302	0.2150651433
303	0.2148856393
304	0.2146827168
305	0.2145130585
306	0.21439847
307	0.2141391977
308	0.2140112501
309	0.2138388139
310	0.2136140581
311	0.2135422451
312	0.2134156324
313	0.2131803787
314	0.212989105
315	0.2128993074
316	0.2127797832
317	0.2126171968
318	0.2124907683
319	0.2123878955
320	0.212261312
321	0.2120743245
322	0.2118991995
323	0.2117280677
324	0.2115892247
325	0.2114136343
326	0.2113343177
327	0.2110908737
328	0.2109178638
329	0.2107499889
330	0.2106020789
331	0.2104967993
332	0.2103806718
333	0.2102543265
334	0.2101265059
335	0.2100413529
336	0.2098834668
337	0.2096853536
338	0.2095114663
339	0.2093347998
340	0.2092124342
341	0.209076363
342	0.2090007494
343	0.2087902598
344	0.2086825135
345	0.2085728134
346	0.2084893201
347	0.2083110438
348	0.208172457
349	0.2080839507
350	0.207900078
351	0.2077398991
352	0.2076389255
353	0.2075397741
354	0.2074237128
355	0.2073630677
356	0.2072174565
357	0.2070177659
358	0.2068818848
359	0.2067004905
360	0.2066369804
361	0.2065004758
362	0.2063658142
363	0.2061845995
364	0.2060673526
365	0.2059807235
366	0.2058837003
367	0.2057602208
368	0.20563053
369	0.2054746172
370	0.205304672
371	0.205180989
372	0.2050269271
373	0.2049192186
374	0.2047699579
375	0.204604668
376	0.2045190752
377	0.2044158413
378	0.2043010838
379	0.2041943412
380	0.2040937591
381	0.2040239863
382	0.2038894005
383	0.2037283759
384	0.2035884931
385	0.2035711899
386	0.2034770508
387	0.2033009781
388	0.2031918164
389	0.2030342276
390	0.2028632166
391	0.2027496875
392	0.2026443094
393	0.2024819049
394	0.2023834517
395	0.2022065561
396	0.2020704219
397	0.2019932219
398	0.2019228215
399	0.2017673585
400	0.2016334912
401	0.2014721415
402	0.2014048361
403	0.2012453689
404	0.2011134353
405	0.2010309649
406	0.2009350264
407	0.2007528289
408	0.2006571231
409	0.2006069929
410	0.2005211296
411	0.2004677695
412	0.2004210923
413	0.2003208801
414	0.2002302112
415	0.2001106415
416	0.1999571034
417	0.1998138156
418	0.1997104797
419	0.199562208
420	0.1994403229
421	0.1992644666
422	0.1991562482
423	0.1989527312
424	0.1988406096
425	0.1987360504
426	0.1986412742
427	0.1985243406
428	0.1984853902
429	0.1983870252
430	0.198308674
431	0.1981965314
432	0.1980740982
433	0.1979249104
434	0.1978172403
435	0.1977800007
436	0.1976036945
437	0.1975739851
438	0.1973854706
439	0.1972689663
440	0.1971947609
441	0.1970840216
442	0.1970063608
443	0.1969859323
444	0.1968773591
445	0.1966706488
446	0.1964852591
447	0.1964081898
448	0.1962690071
449	0.1961492579
450	0.196049086
451	0.1959883114
452	0.1958930678
453	0.1958000088
454	0.1957217029
455	0.195657349
456	0.1955376745
457	0.195417881
458	0.1953339026
459	0.1952753204
460	0.1952152879
461	0.1951145389
462	0.1948949965
463	0.1947483738
464	0.1946753083
465	0.1945617927
466	0.1944400606
467	0.1943356612
468	0.1942005742
469	0.1941408958
470	0.1940177747
471	0.1939067102
472	0.193829579
473	0.193718349
474	0.1936131305
475	0.1935857189
476	0.1934638118
477	0.1933103752
478	0.1932341425
479	0.1931659567
480	0.1930749053
481	0.1929610379
482	0.1929163075
483	0.1928107333
484	0.1927505264
485	0.192622098
486	0.1925450925
487	0.1923992773
488	0.192395187
489	0.1923218346
490	0.1922243936
491	0.1921477885
492	0.1920643164
493	0.1919117216
494	0.1917734077
495	0.1916654868
496	0.1915991676
497	0.1915088704
498	0.1914452303
499	0.191376704
500	0.19132354
501	0.1912136391
502	0.1911531741
503	0.1910599427
504	0.190993865
505	0.1909238554
506	0.1908349221
507	0.190762712
508	0.1906805464
509	0.1905494077
510	0.1904664749
511	0.1903993465
512	0.1903194606
513	0.1902288202
514	0.1901345129
515	0.1900290574
516	0.1899470277
517	0.1898716491
518	0.1897907411
519	0.1896861199
520	0.1896142802
521	0.1895365281
522	0.1894454526
523	0.1893897639
524	0.1893072284
525	0.1891818242
526	0.1890995314
527	0.1889691124
528	0.1888630157
529	0.1887406246
530	0.1886448766
531	0.1885573069
532	0.1885096562
533	0.1884220745
