,mean_test_score,params
0,-0.08365031431004842,{'n_estimators': 900}
1,-0.08369138764963298,{'n_estimators': 901}
2,-0.08358364252436726,{'n_estimators': 902}
3,-0.08360274858404049,{'n_estimators': 903}
4,-0.08363349778118569,{'n_estimators': 904}
5,-0.08359311049285276,{'n_estimators': 905}
6,-0.08355239257170202,{'n_estimators': 906}
7,-0.08363106864530613,{'n_estimators': 907}
8,-0.0836190353943208,{'n_estimators': 908}
9,-0.08365216136797089,{'n_estimators': 909}
10,-0.08357732837458792,{'n_estimators': 910}
11,-0.08364983675291655,{'n_estimators': 911}
12,-0.08357439186029428,{'n_estimators': 912}
13,-0.08352831567290533,{'n_estimators': 913}
14,-0.08362126560493914,{'n_estimators': 914}
15,-0.08355429663756743,{'n_estimators': 915}
16,-0.08357571781065912,{'n_estimators': 916}
17,-0.08359058898471045,{'n_estimators': 917}
18,-0.0836368212175094,{'n_estimators': 918}
19,-0.08361926503014912,{'n_estimators': 919}
20,-0.08360215310156772,{'n_estimators': 920}
21,-0.08361559939645782,{'n_estimators': 921}
22,-0.08362034468780641,{'n_estimators': 922}
23,-0.08363727453968024,{'n_estimators': 923}
24,-0.08360714513154574,{'n_estimators': 924}
25,-0.08353190257161769,{'n_estimators': 925}
26,-0.08366823123477637,{'n_estimators': 926}
27,-0.0835944326394922,{'n_estimators': 927}
28,-0.08362939940100533,{'n_estimators': 928}
29,-0.08359999568683105,{'n_estimators': 929}
30,-0.08354506154711035,{'n_estimators': 930}
31,-0.0835400479999422,{'n_estimators': 931}
32,-0.0835556347557566,{'n_estimators': 932}
33,-0.08368065282948116,{'n_estimators': 933}
34,-0.08357867147812988,{'n_estimators': 934}
35,-0.08358904055757024,{'n_estimators': 935}
36,-0.08352860775539392,{'n_estimators': 936}
37,-0.0835486192749783,{'n_estimators': 937}
38,-0.08363637674131934,{'n_estimators': 938}
39,-0.08356267102441224,{'n_estimators': 939}
40,-0.08363976270372,{'n_estimators': 940}
41,-0.08360644005906033,{'n_estimators': 941}
42,-0.08357093000281338,{'n_estimators': 942}
43,-0.08357216035174297,{'n_estimators': 943}
44,-0.08360985407358687,{'n_estimators': 944}
45,-0.08353557914453533,{'n_estimators': 945}
46,-0.08357984532423408,{'n_estimators': 946}
47,-0.08362172942372616,{'n_estimators': 947}
48,-0.08361042139263128,{'n_estimators': 948}
49,-0.08367178989328918,{'n_estimators': 949}
50,-0.08358917784860638,{'n_estimators': 950}
51,-0.08355990439326418,{'n_estimators': 951}
52,-0.08357451259844384,{'n_estimators': 952}
53,-0.0835717677463197,{'n_estimators': 953}
54,-0.08359741447559182,{'n_estimators': 954}
55,-0.08361666266178162,{'n_estimators': 955}
56,-0.0836392441228636,{'n_estimators': 956}
57,-0.08357010690677683,{'n_estimators': 957}
58,-0.0836012315188734,{'n_estimators': 958}
59,-0.08364982276613694,{'n_estimators': 959}
60,-0.08365716992458858,{'n_estimators': 960}
61,-0.08353518325782663,{'n_estimators': 961}
62,-0.08359163980589376,{'n_estimators': 962}
63,-0.08357574114030812,{'n_estimators': 963}
64,-0.08360379510449274,{'n_estimators': 964}
65,-0.08361176251905031,{'n_estimators': 965}
66,-0.08356596975102809,{'n_estimators': 966}
67,-0.08358823104136895,{'n_estimators': 967}
68,-0.08358101440398333,{'n_estimators': 968}
69,-0.08356740714800165,{'n_estimators': 969}
70,-0.08363711221632747,{'n_estimators': 970}
71,-0.08352712887742039,{'n_estimators': 971}
72,-0.08354153376147341,{'n_estimators': 972}
73,-0.08357879032152146,{'n_estimators': 973}
74,-0.08359940662224499,{'n_estimators': 974}
75,-0.08367680700886979,{'n_estimators': 975}
76,-0.08363327863007337,{'n_estimators': 976}
77,-0.08354446131538085,{'n_estimators': 977}
78,-0.0835887311344465,{'n_estimators': 978}
79,-0.08360093978395278,{'n_estimators': 979}
80,-0.08355502227293335,{'n_estimators': 980}
81,-0.08353817059131433,{'n_estimators': 981}
82,-0.08356168438058462,{'n_estimators': 982}
83,-0.08354854416386341,{'n_estimators': 983}
84,-0.0835713834691583,{'n_estimators': 984}
85,-0.08363905275249742,{'n_estimators': 985}
86,-0.08356003275116101,{'n_estimators': 986}
87,-0.08359993294319747,{'n_estimators': 987}
88,-0.08364056374902737,{'n_estimators': 988}
89,-0.08366923122047423,{'n_estimators': 989}
90,-0.08364198172729914,{'n_estimators': 990}
91,-0.08355539837539408,{'n_estimators': 991}
92,-0.08360080353920553,{'n_estimators': 992}
93,-0.08363048838906864,{'n_estimators': 993}
94,-0.08364550742139114,{'n_estimators': 994}
95,-0.08349829527911429,{'n_estimators': 995}
96,-0.08351930467383681,{'n_estimators': 996}
97,-0.08353565779070002,{'n_estimators': 997}
98,-0.08358310597917203,{'n_estimators': 998}
99,-0.08369146006534321,{'n_estimators': 999}
