,permutation,score
0,['rf'],8.784249613614053
1,['bagging'],9.278346823426284
2,"['rf', 'bagging']",8.849185751897872
3,['extra'],8.412096684167981
4,"['rf', 'extra']",8.46497096031217
5,"['bagging', 'extra']",8.587515158708097
6,"['rf', 'bagging', 'extra']",8.614118197828786
7,['hist'],8.998102485967078
8,"['rf', 'hist']",8.67185722805915
9,"['bagging', 'hist']",8.758018352104607
10,"['rf', 'bagging', 'hist']",8.68986050946728
11,"['extra', 'hist']",8.419975452615029
12,"['rf', 'extra', 'hist']",8.449733147738845
13,"['bagging', 'extra', 'hist']",8.539737619393591
14,"['rf', 'bagging', 'extra', 'hist']",8.497248722360462
15,['xgb'],8.307316856887262
16,"['rf', 'xgb']",8.398178529900227
17,"['bagging', 'xgb']",8.501588089040672
18,"['rf', 'bagging', 'xgb']",8.54749490388222
19,"['extra', 'xgb']",8.23669209161411
20,"['rf', 'extra', 'xgb']",8.311588824499466
21,"['bagging', 'extra', 'xgb']",8.396462812285613
22,"['rf', 'bagging', 'extra', 'xgb']",8.44058053555817
23,"['hist', 'xgb']",8.434163417915377
24,"['rf', 'hist', 'xgb']",8.42715729237041
25,"['bagging', 'hist', 'xgb']",8.478863880237911
26,"['rf', 'bagging', 'hist', 'xgb']",8.506775782217899
27,"['extra', 'hist', 'xgb']",8.285372600521187
28,"['rf', 'extra', 'hist', 'xgb']",8.33829346332077
29,"['bagging', 'extra', 'hist', 'xgb']",8.36429598807442
30,"['rf', 'bagging', 'extra', 'hist', 'xgb']",8.403690590547374
31,['lgbm'],9.034195852630422
32,"['rf', 'lgbm']",8.68018153751432
33,"['bagging', 'lgbm']",8.811779062957314
34,"['rf', 'bagging', 'lgbm']",8.687146854030235
35,"['extra', 'lgbm']",8.438522989329416
36,"['rf', 'extra', 'lgbm']",8.45794743102289
37,"['bagging', 'extra', 'lgbm']",8.528113828357546
38,"['rf', 'bagging', 'extra', 'lgbm']",8.510339317790102
39,"['hist', 'lgbm']",8.949148812196547
40,"['rf', 'hist', 'lgbm']",8.705931482982379
41,"['bagging', 'hist', 'lgbm']",8.764044950148763
42,"['rf', 'bagging', 'hist', 'lgbm']",8.682899042228653
43,"['extra', 'hist', 'lgbm']",8.53570835597914
44,"['rf', 'extra', 'hist', 'lgbm']",8.502132674755632
45,"['bagging', 'extra', 'hist', 'lgbm']",8.5454059441093
46,"['rf', 'bagging', 'extra', 'hist', 'lgbm']",8.539880559470028
47,"['xgb', 'lgbm']",8.456276891396469
48,"['rf', 'xgb', 'lgbm']",8.439586764671006
49,"['bagging', 'xgb', 'lgbm']",8.519711590167097
50,"['rf', 'bagging', 'xgb', 'lgbm']",8.508926010649349
51,"['extra', 'xgb', 'lgbm']",8.288447059281317
52,"['rf', 'extra', 'xgb', 'lgbm']",8.342484197369163
53,"['bagging', 'extra', 'xgb', 'lgbm']",8.375757286458622
54,"['rf', 'bagging', 'extra', 'xgb', 'lgbm']",8.405598636123642
55,"['hist', 'xgb', 'lgbm']",8.559406586281405
56,"['rf', 'hist', 'xgb', 'lgbm']",8.506669579916489
57,"['bagging', 'hist', 'xgb', 'lgbm']",8.521703568475134
58,"['rf', 'bagging', 'hist', 'xgb', 'lgbm']",8.548762321059144
59,"['extra', 'hist', 'xgb', 'lgbm']",8.3860240874177
60,"['rf', 'extra', 'hist', 'xgb', 'lgbm']",8.394713378245411
61,"['bagging', 'extra', 'hist', 'xgb', 'lgbm']",8.412845977172594
62,"['rf', 'bagging', 'extra', 'hist', 'xgb', 'lgbm']",8.443059734690687
